1999;1;2017-09-10 20:28:55;
1610;9;2017-09-10 20:28:55;
1612;2236;2017-09-10 20:28:55;
1613;290;2017-09-10 20:28:55;
1614;673;2017-09-10 20:28:55;
1617;581;2017-09-10 20:28:55;
1622;-3;2017-09-10 20:28:55;
1630;535;2017-09-10 20:28:55;
1660;16;2017-09-10 20:28:55;
1951;2427;2017-09-10 20:28:55;
1959;361;2017-09-10 20:28:55;
1622;-2;2017-09-10 20:30:55;
1630;535;2017-09-10 20:30:55;
1660;16;2017-09-10 20:30:55;
1951;2433;2017-09-10 20:30:55;
1959;362;2017-09-10 20:30:55;
1997;89;2017-09-10 20:30:55;
1998;31;2017-09-10 20:30:55;
1999;1;2017-09-10 20:30:55;
1610;6;2017-09-10 20:30:55;
1612;2227;2017-09-10 20:30:55;
1613;289;2017-09-10 20:30:55;
1614;672;2017-09-10 20:30:55;
1617;580;2017-09-10 20:30:55;
1610;89;2017-09-10 20:32:55;
1612;2246;2017-09-10 20:32:55;
1613;289;2017-09-10 20:32:55;
1614;694;2017-09-10 20:32:55;
1617;579;2017-09-10 20:32:55;
1622;12;2017-09-10 20:32:55;
1630;527;2017-09-10 20:32:55;
1660;16;2017-09-10 20:32:55;
1951;2440;2017-09-10 20:32:55;
1959;363;2017-09-10 20:32:55;
1997;91;2017-09-10 20:32:55;
1998;31;2017-09-10 20:32:55;
1999;1;2017-09-10 20:32:55;
1997;89;2017-09-10 20:34:54;
1998;31;2017-09-10 20:34:54;
1999;1;2017-09-10 20:34:54;
1610;72;2017-09-10 20:34:54;
1612;2246;2017-09-10 20:34:54;
1613;290;2017-09-10 20:34:54;
1614;675;2017-09-10 20:34:54;
1617;582;2017-09-10 20:34:54;
1622;6;2017-09-10 20:34:54;
1630;532;2017-09-10 20:34:54;
1660;16;2017-09-10 20:34:54;
1951;2446;2017-09-10 20:34:54;
1959;364;2017-09-10 20:34:54;
1622;-3;2017-09-10 20:36:55;
1630;530;2017-09-10 20:36:55;
1660;16;2017-09-10 20:36:55;
1951;2452;2017-09-10 20:36:55;
1959;365;2017-09-10 20:36:55;
1997;87;2017-09-10 20:36:55;
1998;31;2017-09-10 20:36:55;
1999;1;2017-09-10 20:36:55;
1610;10;2017-09-10 20:36:55;
1612;2232;2017-09-10 20:36:55;
1613;290;2017-09-10 20:36:55;
